'vel:', 0.6, '| ang:', 0.3141592653589793, '| x_e:', 1, '| y_e:', 1, '| x:', 0.0, '| y:', 0.0, ,'| x_e:', 0.7853981633974483, '| theta:', 0.0
'vel:', 0.6, '| ang:', 0.3141592653589793, '| x_e:', 1, '| y_e:', 1, '| x:', 0.0012415983588218297, '| y:', 0.0, ,'| x_e:', 0.7853981633974483, '| theta:', 0.04278024810505534
'vel:', 0.6, '| ang:', 0.2970968362180864, '| x_e:', 1, '| y_e:', 1, '| x:', 0.0012415983588218297, '| y:', 0.0, ,'| x_e:', 0.742742090545216, '| theta:', 0.04278024810505534
'vel:', 0.6, '| ang:', 0.2970968362180864, '| x_e:', 1, '| y_e:', 1, '| x:', 0.0012416920939722115, '| y:', 4.012461089597616e-09, ,'| x_e:', 0.742742090545216, '| theta:', 0.04278009573520602
'vel:', 0.6, '| ang:', 0.2970969007558649, '| x_e:', 1, '| y_e:', 1, '| x:', 0.008402721244848265, '| y:', 0.0003065405491621103, ,'| x_e:', 0.7427422518896623, '| theta:', 0.042846711768458876
'vel:', 0.6, '| ang:', 0.29734471010136454, '| x_e:', 1, '| y_e:', 1, '| x:', 0.0255462785892319, '| y:', 0.0010415354422892817, ,'| x_e:', 0.7433617752534113, '| theta:', 0.04306184061688614
'vel:', 0.6, '| ang:', 0.29791732991818537, '| x_e:', 1, '| y_e:', 1, '| x:', 0.052687443596293224, '| y:', 0.002211006912294102, ,'| x_e:', 0.7447933247954633, '| theta:', 0.04336976448596901
'vel:', 0.6, '| ang:', 0.29884154509873123, '| x_e:', 1, '| y_e:', 1, '| x:', 0.08990485718503542, '| y:', 0.003826130149486922, ,'| x_e:', 0.747103862746828, '| theta:', 0.04373512213592284
'vel:', 0.6, '| ang:', 0.30014085644884625, '| x_e:', 1, '| y_e:', 1, '| x:', 0.13705862783159073, '| y:', 0.005889721954936316, ,'| x_e:', 0.7503521411221156, '| theta:', 0.04419752869591729
'vel:', 0.6, '| ang:', 0.3018027851575943, '| x_e:', 1, '| y_e:', 1, '| x:', 0.1941011545500042, '| y:', 0.008412503565740087, ,'| x_e:', 0.7545069628939857, '| theta:', 0.04493710312828966
'vel:', 0.6, '| ang:', 0.3037645897099723, '| x_e:', 1, '| y_e:', 1, '| x:', 0.2539955045163604, '| y:', 0.011105795284557057, ,'| x_e:', 0.7594114742749306, '| theta:', 0.05097157775212173
'vel:', 0.6, '| ang:', 0.3037487278801024, '| x_e:', 1, '| y_e:', 1, '| x:', 0.3138780308261883, '| y:', 0.014160748281614906, ,'| x_e:', 0.7593718197002559, '| theta:', 0.06164924165561152
'vel:', 0.6, '| ang:', 0.30189090874399366, '| x_e:', 1, '| y_e:', 1, '| x:', 0.37372019099395953, '| y:', 0.017854652981584344, ,'| x_e:', 0.7547272718599841, '| theta:', 0.07596896267676506
